agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
USGS	09405500	00060	143263	12	9	1989	2018	30	2012	83.6	1995	35.0	54	36	37	41	42	52	65	70	73	82
USGS	09405500	00060	143263	12	10	1989	2018	30	1997	276	2004	36.8	60	37	38	41	41	52	63	65	78	171
USGS	09405500	00060	143263	12	11	1989	2018	30	1997	193	1990	38.0	59	39	41	43	46	52	65	65	78	133
USGS	09405500	00060	143263	12	12	1989	2018	30	1994	104	2002	38.9	56	40	40	44	45	51	65	69	78	94
USGS	09405500	00060	143263	12	13	1989	2018	30	2010	111	1990	28.0	57	32	38	44	47	53	66	69	75	101
USGS	09405500	00060	143263	12	14	1989	2018	30	2012	84.5	1990	30.0	55	33	37	43	44	52	65	68	80	84
USGS	09405500	00060	143263	12	15	1989	2018	30	1994	83.0	1990	31.0	52	32	36	38	41	48	64	66	73	83
USGS	09405500	00060	143263	12	16	1989	2018	30	2017	690	2004	33.7	74	36	37	40	42	49	64	66	80	357
USGS	09405500	00060	143263	12	17	1989	2018	30	2017	123	2004	33.9	55	35	39	43	45	50	62	69	76	101
USGS	09405500	00060	143263	12	18	1989	2018	30	2011	187	1991	36.0	59	36	39	43	46	50	66	66	88	137
USGS	09405500	00060	143263	12	19	1989	2018	30	2011	1080	1991	37.0	88	38	39	42	46	50	64	68	78	536
USGS	09405500	00060	143263	12	20	1989	2018	30	2011	2880	1991	37.0	147	38	39	43	44	49	64	67	76	1340
USGS	09405500	00060	143263	12	21	1989	2018	30	2011	3750	1991	37.0	176	38	42	44	45	50	66	66	68	1730
USGS	09405500	00060	143263	12	22	1989	2018	30	2011	1370	1990	36.0	97	37	41	44	46	52	61	63	78	661
USGS	09405500	00060	143263	12	23	1989	2018	30	2011	812	1990	34.0	78	35	40	42	43	51	61	64	72	411
USGS	09405500	00060	143263	12	24	1989	2018	30	2011	387	1990	34.0	66	35	40	43	45	49	61	66	80	251
USGS	09405500	00060	143263	12	25	1989	2018	30	2011	269	1990	36.0	64	36	37	41	45	53	66	71	89	186
USGS	09405500	00060	143263	12	26	1989	2018	30	2011	247	2003	34.3	62	36	39	39	42	53	67	69	79	183
USGS	09405500	00060	143263	12	27	1989	2018	30	2011	182	2003	34.3	56	35	38	39	41	51	65	67	72	126
USGS	09405500	00060	143263	12	28	1989	2018	30	2011	153	2003	36.7	57	37	37	39	43	53	68	71	74	114
USGS	09405500	00060	143263	12	29	1989	2018	30	2005	376	2004	38.4	68	38	39	44	45	53	66	70	87	259
USGS	09405500	00060	143263	12	30	1989	2018	30	2011	126	2015	39.2	60	40	41	45	47	51	68	72	91	120
USGS	09405500	00060	143263	12	31	1989	2018	30	2011	104	1990	40.0	58	40	42	44	45	51	67	75	85	96

